country,cluster,access_electricity_pct,access_clean_fuels_pct,renewable_share_pct,low_carbon_elec_pct,primary_energy_per_capita_kwh,energy_intensity_mj_gdp,gdp_per_capita_usd,cluster_name
Afghanistan,2,97.7,31.9,18.51,83.17757,802.61255,2.41,494.1793499,Transición renovable
Albania,2,100.0,80.7,23.75,100.0,11585.555,2.5,5395.659532,Transición renovable
Algeria,0,99.5,99.7,0.16,1.0953188,16259.053,5.32,3989.668276,Emergentes fósiles
Angola,3,45.6428,49.5,54.69,71.55844,3667.4238,2.94,2809.626088,Pobreza energética
Antigua and Barbuda,0,100.0,100.0,0.91,2.9411764,33027.516,3.45,17376.64968,Emergentes fósiles
Argentina,0,100.0,99.9,10.74,31.991589,20725.168,3.35,10056.63794,Emergentes fósiles
Armenia,2,100.0,98.0,10.34,60.821915,16179.096,3.53,4604.646324,Transición renovable
Aruba,0,100.0,87.6,7.48,16.304348,51107.844,3.2,6624.761865,Emergentes fósiles
Australia,1,100.0,100.0,10.13,21.37597,66263.54,4.3,54875.28596,Desarrollados alto consumo
Austria,1,100.0,100.0,33.77,77.109795,48314.258,2.82,50114.40111,Desarrollados alto consumo
Azerbaijan,0,100.0,96.7,1.62,6.869919,17546.781,4.61,4805.753718,Emergentes fósiles
Bahamas,0,100.0,100.0,1.14,0.0,39636.066,2.53,6624.761865,Emergentes fósiles
Bahrain,1,100.0,100.0,0.0,0.031806614,155398.47,8.73,23551.93009,Desarrollados alto consumo
Bangladesh,0,92.2,23.4,24.75,1.4337819,2916.3176,2.36,1855.740094,Emergentes fósiles
Barbados,0,100.0,100.0,4.31,3.9215686,25172.027,3.54,18148.49785,Emergentes fósiles
Belarus,0,100.0,99.5,7.83,2.494692,31923.436,5.97,6837.717826,Emergentes fósiles
Belgium,1,100.0,100.0,10.21,68.237465,64152.26,3.87,46591.49161,Desarrollados alto consumo
Belize,2,92.72,82.1,29.09,53.409092,9883.737,6.12,5078.809944,Transición renovable
Benin,3,40.32869,4.0,46.47,5.0,2416.162,5.69,1219.515506,Pobreza energética
Bermuda,1,100.0,87.6,0.84,31.991589,50639.293,1.65,117098.4463,Desarrollados alto consumo
Bhutan,2,100.0,79.4,82.27,100.0,27251.602,7.91,3322.863329,Transición renovable
Bosnia and Herzegovina,2,100.0,45.0,37.02,37.85243,20694.338,6.14,6119.762345,Transición renovable
Botswana,0,69.95974,63.9,25.57,0.3267974,9467.984,2.69,7203.064221,Emergentes fósiles
Brazil,2,99.8,95.8,47.57,85.30534,16681.945,3.93,8897.552966,Transición renovable
Bulgaria,2,100.0,87.6,19.34,54.908676,29996.027,4.74,9879.268533,Transición renovable
Burkina Faso,3,18.374855,10.1,64.85,12.209302,946.95734,4.49,796.1152068,Pobreza energética
Burundi,3,11.356528,0.2,84.77,66.666664,309.34055,7.62,228.2135892,Pobreza energética
Cambodia,2,84.0,32.6,53.36,53.372787,4069.4607,4.68,1643.121389,Transición renovable
Cameroon,3,63.48988,22.2,79.41,64.19161,1720.2494,4.33,1533.095688,Pobreza energética
Canada,1,100.0,100.0,22.11,82.378334,107980.76,6.94,46338.34096,Desarrollados alto consumo
Cayman Islands,1,100.0,87.6,0.0,2.857143,50531.71,2.06,91392.64259,Desarrollados alto consumo
Central African Republic,3,14.3,0.7,91.26,100.0,299.18008,8.39,467.9080323,Pobreza energética
Chad,3,8.4,6.1,77.79,3.2258065,458.18085,3.77,709.5400432,Pobreza energética
Chile,0,100.0,100.0,25.26,41.64621,24894.514,3.66,14741.7144,Emergentes fósiles
China,0,100.0,77.6,14.45,31.672895,28277.445,6.31,10143.83817,Emergentes fósiles
Colombia,2,99.75592,92.5,30.72,69.49456,11221.787,2.51,6424.979492,Transición renovable
Comoros,3,84.297775,7.8,53.43,0.0,1685.7296,3.19,1401.542312,Pobreza energética
Congo,3,48.407475,32.6,68.67,25.68306,2873.82,6.55,6624.761865,Pobreza energética
Costa Rica,2,99.71,95.6,35.76,97.81277,13012.45,2.11,12693.82796,Transición renovable
Croatia,2,100.0,100.0,31.6,65.95577,23200.729,3.07,15311.7669,Transición renovable
Cuba,0,99.8,93.6,21.54,15.309779,9606.213,1.27,9125.878679,Emergentes fósiles
Cyprus,0,100.0,100.0,12.05,10.097087,26442.418,2.67,29206.07672,Emergentes fósiles
Czechia,0,100.0,100.0,15.85,47.021107,45355.285,4.12,6624.761865,Emergentes fósiles
Denmark,1,100.0,100.0,37.52,78.17689,33139.277,2.0,59775.7351,Desarrollados alto consumo
Djibouti,3,61.21193,9.5,27.92,0.0,2848.7866,1.89,3414.916178,Pobreza energética
Dominica,0,100.0,89.3,8.05,22.222221,11049.87,2.97,8516.280039,Emergentes fósiles
Dominican Republic,0,99.0,90.9,13.98,12.247015,11098.332,2.08,8282.117131,Emergentes fósiles
Ecuador,2,99.09,94.45,17.73,78.04273,12160.402,3.26,6222.524653,Transición renovable
Egypt,0,100.0,99.9,5.3,10.662351,9919.544,3.41,6624.761865,Emergentes fósiles
El Salvador,2,97.36,90.75,19.39,69.28214,7271.5205,3.37,4167.730939,Transición renovable
Equatorial Guinea,0,66.600044,24.0,6.58,32.142857,17644.693,3.01,8419.933336,Emergentes fósiles
Eritrea,3,50.936993,9.2,73.67,2.2727273,936.4785,3.75,6624.761865,Pobreza energética
Estonia,0,100.0,100.0,31.29,28.120895,47295.336,4.49,23397.12001,Emergentes fósiles
Eswatini,2,76.86944,53.8,65.95,94.3662,5780.252,4.67,3915.643467,Transición renovable
Ethiopia,3,48.06359,7.0,88.92,99.929726,921.99115,7.53,855.7608852,Pobreza energética
Fiji,2,99.71588,49.4,26.48,62.83186,9417.632,2.15,6175.890653,Transición renovable
Finland,1,100.0,100.0,45.76,81.52969,59219.418,5.19,48628.64176,Desarrollados alto consumo
France,1,100.0,100.0,15.53,90.54302,42326.785,3.29,40578.64429,Desarrollados alto consumo
Gabon,2,90.726295,87.8,89.88,44.690266,7427.6616,5.99,7766.996554,Transición renovable
Gambia,3,62.1,1.8,49.24,0.0,972.6679,2.97,6624.761865,Pobreza energética
Georgia,2,100.0,87.7,25.22,76.98276,19659.346,3.83,4697.983652,Transición renovable
Germany,1,100.0,100.0,17.17,52.611385,44467.746,2.76,46794.89929,Desarrollados alto consumo
Ghana,2,83.5,22.4,41.8,43.858597,3135.595,2.85,2246.625578,Transición renovable
Greece,0,100.0,100.0,18.51,33.14121,29966.309,2.9,19133.75776,Emergentes fósiles
Grenada,0,93.120964,89.6,10.37,0.0,10655.754,2.68,10827.43529,Emergentes fósiles
Guatemala,2,95.742004,48.6,62.92,60.101376,5851.735,4.24,4638.634943,Transición renovable
Guinea,3,42.2,1.6,65.44,63.592236,1201.7898,5.57,1058.143368,Pobreza energética
Guinea-Bissau,3,30.961557,1.0,86.24,0.0,703.1273,8.59,749.453747,Pobreza energética
Guyana,0,91.91576,79.5,11.35,13.114754,14184.612,3.98,6609.51128,Emergentes fósiles
Haiti,3,45.990234,4.4,76.4,16.666666,1184.3462,5.8,1312.770636,Pobreza energética
Honduras,2,91.1,48.1,45.96,51.528778,5640.568,4.3,2556.456891,Transición renovable
