country,cluster_name,transition_score,y_pred,residual,access_electricity_pct,renewable_share_pct,log_gdp,energy_intensity_mj_gdp,log_energy,gdp_growth_pct,acc_2000,lc_2000
Afghanistan,Transición renovable,72.02,65.423,6.597,97.7,18.51,6.205,2.41,6.689,3.912,1.614,65.957
Algeria,Emergentes fósiles,43.08,46.388,-3.308,99.5,0.16,8.292,5.32,9.696,1.0,98.973,0.209
Angola,Pobreza energética,57.38,52.978,4.402,45.643,54.69,7.941,2.94,8.208,-0.625,24.213,64.286
Antigua and Barbuda,Emergentes fósiles,49.32,50.093,-0.773,100.0,0.91,9.763,3.45,10.405,4.862,97.689,0.0
Argentina,Emergentes fósiles,60.44,62.299,-1.859,100.0,10.74,9.216,3.35,9.939,-2.026,95.783,40.915
Armenia,Transición renovable,70.62,68.365,2.255,100.0,10.34,8.435,3.53,9.692,7.6,98.9,54.982
Australia,Desarrollados alto consumo,61.72,60.735,0.985,100.0,10.13,10.913,4.3,11.101,2.113,100.0,8.634
Austria,Desarrollados alto consumo,86.48,87.562,-1.082,100.0,33.77,10.822,2.82,10.786,1.491,100.0,72.581
Azerbaijan,Emergentes fósiles,46.49,48.65,-2.16,100.0,1.62,8.478,4.61,9.773,2.5,98.908,8.612
Bahrain,Desarrollados alto consumo,49.09,50.609,-1.519,100.0,0.0,10.067,8.73,11.954,2.141,100.0,0.0
Bangladesh,Emergentes fósiles,38.31,40.609,-2.299,92.2,24.75,7.527,2.36,7.978,8.153,32.0,6.321
Barbados,Emergentes fósiles,49.91,49.953,-0.043,100.0,4.31,9.806,3.54,10.134,-0.096,100.0,0.0
Belarus,Emergentes fósiles,45.78,47.756,-1.976,100.0,7.83,8.83,5.97,10.371,1.4,100.0,0.122
Belgium,Desarrollados alto consumo,82.22,80.08,2.14,100.0,10.21,10.749,3.87,11.069,2.15,100.0,59.44
Belize,Transición renovable,65.45,63.418,2.032,92.72,29.09,8.533,6.12,9.199,1.763,79.0,50.0
Benin,Pobreza energética,22.85,29.358,-6.508,40.329,46.47,7.107,5.69,7.79,6.866,21.531,0.0
Bhutan,Transición renovable,87.08,82.744,4.336,100.0,82.27,8.109,7.91,10.213,5.755,31.15,100.0
Bosnia and Herzegovina,Transición renovable,61.3,66.278,-4.978,100.0,37.02,8.719,6.14,9.938,2.831,100.0,50.149
Botswana,Emergentes fósiles,35.98,39.878,-3.898,69.96,25.57,8.882,2.69,9.156,2.993,26.409,0.0
Brazil,Transición renovable,83.93,83.364,0.566,99.8,47.57,9.094,3.93,9.722,1.411,94.392,91.573
Bulgaria,Transición renovable,70.68,69.93,0.75,100.0,19.34,9.198,4.74,10.309,4.038,100.0,51.256
Burkina Faso,Pobreza energética,17.99,32.581,-14.591,18.375,64.85,6.681,4.49,6.854,5.688,9.075,31.25
Burundi,Pobreza energética,35.94,47.266,-11.326,11.357,84.77,5.435,7.62,5.738,1.842,2.463,100.0
Cambodia,Transición renovable,58.79,46.4,12.39,84.0,53.36,7.405,4.68,8.312,7.054,16.6,10.638
Cameroon,Pobreza energética,57.25,59.012,-1.762,63.49,79.41,7.336,4.33,7.451,3.475,41.0,98.841
Canada,Desarrollados alto consumo,88.57,87.508,1.062,100.0,22.11,10.744,6.94,11.59,1.88,100.0,73.563
Cayman Islands,Desarrollados alto consumo,55.21,55.258,-0.048,100.0,0.0,11.423,2.06,10.83,3.817,100.0,0.0
Central African Republic,Pobreza energética,54.38,47.965,6.415,14.3,91.26,6.15,8.39,5.704,3.0,6.0,80.0
Chad,Pobreza energética,10.54,24.384,-13.844,8.4,77.79,6.566,3.77,6.129,3.247,3.18,11.111
Chile,Emergentes fósiles,66.15,68.522,-2.372,100.0,25.26,9.599,3.66,10.122,0.942,97.939,47.506
China,Emergentes fósiles,60.32,58.557,1.763,100.0,14.45,9.225,6.31,10.25,5.95,97.022,17.874
Colombia,Transición renovable,75.64,76.292,-0.652,99.756,30.72,8.768,2.51,9.326,3.281,95.2,75.8
Comoros,Pobreza energética,34.29,37.197,-2.907,84.298,53.43,7.246,3.19,7.431,1.755,39.715,0.0
Costa Rica,Transición renovable,90.8,84.854,5.946,99.71,35.76,9.449,2.11,9.474,2.256,96.94,98.978
Croatia,Transición renovable,77.22,74.323,2.897,100.0,31.6,9.636,3.07,10.052,3.482,100.0,57.282
Cuba,Emergentes fósiles,52.52,51.747,0.773,99.8,21.54,9.119,1.27,9.17,-0.165,97.0,0.634
Cyprus,Emergentes fósiles,54.39,55.949,-1.559,100.0,12.05,10.282,2.67,10.183,5.283,100.0,0.0
Denmark,Desarrollados alto consumo,87.59,74.177,13.413,100.0,37.52,10.998,2.0,10.409,2.115,100.0,15.472
Djibouti,Pobreza energética,30.54,33.406,-2.866,61.212,27.92,8.136,1.89,7.955,7.77,56.38,0.0
Dominica,Emergentes fósiles,55.45,59.95,-4.5,100.0,8.05,9.05,2.97,9.31,7.571,80.952,42.857
Dominican Republic,Emergentes fósiles,50.56,51.809,-1.249,99.0,13.98,9.022,2.08,9.315,5.052,88.765,9.271
Ecuador,Transición renovable,79.17,77.225,1.945,99.09,17.73,8.736,3.26,9.406,0.012,93.732,72.754
El Salvador,Transición renovable,73.28,67.642,5.638,97.36,19.39,8.335,3.37,8.892,2.383,84.519,54.424
Equatorial Guinea,Emergentes fósiles,49.85,46.109,3.741,66.6,6.58,9.038,3.01,9.778,-5.979,65.56,11.111
Estonia,Emergentes fósiles,61.71,57.015,4.695,100.0,31.29,10.06,4.49,10.764,4.096,100.0,0.118
Eswatini,Transición renovable,78.2,71.738,6.462,76.869,65.95,8.273,4.67,8.662,2.613,20.196,90.164
Ethiopia,Pobreza energética,66.63,57.989,8.641,48.064,88.92,6.753,7.53,6.828,8.364,12.7,96.471
Fiji,Transición renovable,72.49,73.022,-0.532,99.716,26.48,8.729,2.15,9.15,-0.446,75.725,70.968
Finland,Desarrollados alto consumo,88.36,84.014,4.346,100.0,45.76,10.792,5.19,10.989,1.221,100.0,65.711
France,Desarrollados alto consumo,91.77,88.568,3.202,100.0,15.53,10.611,3.29,10.653,1.843,100.0,90.515
Gabon,Transición renovable,62.44,66.851,-4.411,90.726,89.88,8.958,5.99,8.913,3.921,73.6,62.5
Georgia,Transición renovable,77.96,78.991,-1.031,100.0,25.22,8.455,3.83,9.886,4.982,99.812,79.78
Germany,Desarrollados alto consumo,75.21,76.078,-0.868,100.0,17.17,10.754,2.76,10.703,1.056,100.0,35.834
Ghana,Transición renovable,55.47,65.004,-9.534,83.5,41.8,7.718,2.85,8.051,6.508,43.7,91.865
Greece,Emergentes fósiles,63.25,58.491,4.759,100.0,18.51,9.859,2.9,10.308,1.804,100.0,7.75
Grenada,Emergentes fósiles,44.24,48.385,-4.145,93.121,10.37,9.29,2.68,9.274,0.736,86.042,0.0
Guatemala,Transición renovable,69.04,66.78,2.26,95.742,62.92,8.442,4.24,8.675,3.867,73.318,52.902
Guinea,Pobreza energética,49.27,46.444,2.826,42.2,65.44,6.965,5.57,7.092,5.646,15.146,54.667
Guyana,Emergentes fósiles,48.02,48.231,-0.211,91.916,11.35,8.796,3.98,9.56,5.353,74.517,6.818
Haiti,Pobreza energética,30.06,40.209,-10.149,45.99,76.4,7.181,5.8,7.078,-1.685,33.7,52.83
Honduras,Transición renovable,61.67,64.986,-3.316,91.1,45.96,7.847,4.3,8.638,2.653,67.383,63.277
Hungary,Transición renovable,75.49,71.753,3.737,100.0,13.64,9.725,3.51,10.245,4.554,100.0,40.978
Iceland,Desarrollados alto consumo,97.92,94.047,3.873,100.0,81.07,11.141,12.27,12.076,2.435,100.0,100.0
India,Emergentes fósiles,49.3,52.464,-3.164,97.308,32.93,7.651,4.28,8.815,4.042,58.721,16.808
Indonesia,Emergentes fósiles,49.84,55.474,-5.634,98.85,19.09,8.328,3.16,9.045,5.018,86.3,19.994
Iraq,Emergentes fósiles,46.87,47.536,-0.666,99.992,0.43,8.696,5.57,9.644,5.957,96.922,2.032
Ireland,Desarrollados alto consumo,70.77,63.385,7.385,100.0,12.34,11.301,1.32,10.552,4.917,100.0,4.985
Israel,Emergentes fósiles,53.13,54.579,-1.449,100.0,4.47,10.691,2.51,10.466,3.774,100.0,0.075
Italy,Emergentes fósiles,68.24,69.159,-0.919,100.0,17.27,10.424,2.45,10.324,0.41,100.0,18.9
Jamaica,Emergentes fósiles,50.49,48.772,1.718,99.368,9.09,8.589,4.45,9.641,0.892,84.394,7.395
Japan,Emergentes fósiles,62.68,71.26,-8.58,100.0,7.69,10.616,3.33,10.618,0.27,100.0,41.492
Jordan,Emergentes fósiles,50.09,48.357,1.733,100.0,8.17,8.391,3.8,9.329,1.955,98.934,0.72
Kazakhstan,Emergentes fósiles,50.64,51.902,-1.262,100.0,1.7,9.192,6.27,10.678,4.5,99.51,14.582
Kenya,Pobreza energética,71.13,55.825,15.305,69.7,68.08,7.557,5.31,7.574,4.981,15.131,50.123
Kiribati,Pobreza energética,36.49,38.989,-2.499,90.033,41.03,7.38,5.93,7.861,3.926,55.125,0.0
Kuwait,Desarrollados alto consumo,50.25,50.926,-0.676,100.0,0.06,10.385,7.4,11.458,0.427,100.0,0.0
Latvia,Transición renovable,70.39,76.53,-6.14,100.0,41.52,9.794,3.18,10.06,2.484,100.0,68.116
Lebanon,Emergentes fósiles,47.5,48.47,-0.97,99.975,5.46,8.933,3.62,9.823,-7.157,99.352,4.788
Lesotho,Pobreza energética,66.53,58.97,7.56,44.5,39.47,7.016,8.14,7.692,-0.381,4.259,100.0
Libya,Emergentes fósiles,35.69,41.434,-5.744,68.642,2.8,8.947,8.9,10.387,2.536,99.8,0.0
Lithuania,Transición renovable,83.82,82.923,0.897,100.0,33.53,9.882,3.08,10.122,4.574,100.0,79.42
Luxembourg,Desarrollados alto consumo,88.33,79.992,8.338,100.0,16.45,11.637,2.34,11.242,3.284,100.0,40.0
Madagascar,Pobreza energética,35.17,42.79,-7.62,31.04,82.77,6.261,8.56,6.522,4.411,12.724,69.231
Malawi,Pobreza energética,48.99,46.664,2.326,11.2,73.02,6.385,3.18,6.289,5.448,4.8,87.903
Malaysia,Emergentes fósiles,53.75,51.308,2.442,100.0,5.11,9.344,4.25,10.541,4.439,99.104,10.728
Maldives,Emergentes fósiles,48.32,49.335,-1.015,100.0,1.11,9.265,2.69,9.829,6.884,83.8,0.0
Mali,Pobreza energética,37.55,44.368,-6.818,47.836,76.64,6.78,4.59,7.117,4.756,9.593,64.103
Malta,Desarrollados alto consumo,54.53,54.367,0.163,100.0,7.7,10.315,1.37,11.291,5.54,100.0,0.0
Mauritania,Pobreza energética,34.9,39.416,-4.516,45.83,24.7,7.464,3.24,8.331,5.76,18.746,13.043
Mauritius,Emergentes fósiles,54.98,56.635,-1.655,100.0,8.94,9.315,2.13,10.035,3.012,99.0,16.667
Mexico,Emergentes fósiles,55.77,58.527,-2.757,99.6,10.34,9.205,3.06,9.793,-0.177,98.007,26.952
Mongolia,Emergentes fósiles,46.74,46.647,0.093,97.23,3.32,8.391,7.01,10.097,5.602,67.3,0.0
Morocco,Emergentes fósiles,50.42,48.621,1.799,99.6,10.69,8.082,3.34,8.891,2.608,69.567,6.348
Mozambique,Pobreza energética,50.49,51.183,-0.693,29.674,78.08,6.23,11.93,7.803,2.315,6.096,99.688
Myanmar,Pobreza energética,49.92,47.955,1.965,68.359,57.85,7.148,3.58,8.07,6.75,41.834,42.974
Namibia,Transición renovable,73.78,67.925,5.855,55.177,30.69,8.519,3.52,9.133,-0.888,36.5,97.163
Nauru,Emergentes fósiles,46.37,48.188,-1.818,100.0,0.61,9.308,5.06,10.017,0.0,99.437,0.0
Nepal,Transición renovable,80.4,71.258,9.142,89.9,77.39,7.087,5.23,7.439,6.657,29.046,96.45
Netherlands,Desarrollados alto consumo,61.89,59.827,2.063,100.0,8.54,10.868,3.05,10.983,1.956,100.0,7.719
New Zealand,Desarrollados alto consumo,88.16,86.56,1.6,100.0,29.65,10.663,4.02,10.883,1.634,100.0,72.016
Nicaragua,Transición renovable,59.76,54.63,5.13,88.058,50.71,7.564,4.68,8.349,-3.675,72.782,20.657
Niger,Pobreza energética,15.07,22.604,-7.534,18.975,80.83,6.319,4.99,6.152,5.941,6.481,0.0
Nigeria,Pobreza energética,39.35,42.914,-3.564,55.4,81.4,7.71,6.39,7.818,2.208,43.121,40.283
North Macedonia,Emergentes fósiles,54.51,56.575,-2.065,100.0,16.32,8.711,3.39,9.595,3.91,100.0,17.181
Norway,Desarrollados alto consumo,97.32,94.696,2.624,100.0,62.37,11.235,3.33,11.476,0.746,100.0,99.775
Oman,Emergentes fósiles,48.08,49.025,-0.945,100.0,0.0,9.781,7.23,11.303,-1.129,100.0,0.0
Pakistan,Transición renovable,47.34,49.2,-1.86,74.128,43.36,7.162,4.59,8.39,1.145,70.311,28.659
Panama,Transición renovable,73.42,75.955,-2.535,95.816,18.91,9.666,1.54,10.236,2.98,81.401,71.429
Papua New Guinea,Pobreza energética,42.37,47.518,-5.148,59.663,53.09,7.945,5.28,8.058,4.48,7.577,45.972
Paraguay,Transición renovable,88.65,84.81,3.84,99.7,60.09,8.591,3.39,9.899,-0.402,89.421,99.981
Peru,Transición renovable,70.8,74.615,-3.815,95.551,27.12,8.858,2.6,9.205,2.204,72.496,82.242
Philippines,Emergentes fósiles,50.61,57.198,-6.588,95.645,26.73,8.157,2.68,8.538,6.119,74.662,44.366
Poland,Emergentes fósiles,54.67,53.057,1.613,100.0,12.18,9.664,3.42,10.335,4.745,100.0,1.627
Portugal,Transición renovable,72.89,71.735,1.155,100.0,28.19,10.058,2.54,10.257,2.683,100.0,29.668
Puerto Rico,Emergentes fósiles,51.47,53.605,-2.135,100.0,2.42,10.4,0.63,10.108,1.485,100.0,0.688
Qatar,Desarrollados alto consumo,52.58,53.646,-1.066,100.0,0.04,11.039,6.79,12.245,0.688,100.0,0.0
Romania,Transición renovable,74.23,69.935,4.295,100.0,23.54,9.465,2.38,9.895,4.188,100.0,39.255
Rwanda,Pobreza energética,39.93,48.28,-8.35,40.369,77.86,6.711,3.94,6.266,9.461,6.2,100.0
Samoa,Transición renovable,60.78,63.199,-2.419,99.2,34.21,8.372,4.44,8.949,4.38,87.858,50.0
