country,score_v1,score_v2,score_v3,rank_v1,rank_v2,rank_v3
Iceland,97.9167478934589,98.07507895244206,90.73,1,1,18
Norway,97.32376254428925,97.43971512704915,91.69,2,2,12
Switzerland,96.2563283770086,96.30718422645236,92.95,3,3,11
Sweden,96.0099463209882,96.16478027900052,88.44,4,4,29
France,91.76751951348356,91.82755933910603,86.85,5,5,32
Costa Rica,90.80009380751765,91.09502040290717,76.21,6,6,73
Albania,88.81514981472719,89.22832561991483,68.85,7,7,98
Paraguay,88.65119891380652,89.06476455321993,68.68,8,8,99
Canada,88.56760546302021,88.48373286245564,88.56,9,9,27
Finland,88.35807299175953,88.25579608199027,89.04,10,10,25
Luxembourg,88.33390556717835,88.03887382129736,96.77,11,12,4
New Zealand,88.15687358272426,88.07667096640797,87.89,12,11,31
Uruguay,87.72754686834908,87.83435065043531,79.83,13,13,54
Denmark,87.5866725589321,87.41010478128202,91.05,14,15,16
Bhutan,87.08359928521136,87.54525850522543,64.68,15,14,107
Austria,86.47664308660043,86.30063721717562,89.61,16,16,23
Brazil,83.92932447802852,84.05895611664371,74.08,17,17,78
Lithuania,83.81697461060476,83.75984439050782,81.42,18,18,47
Belgium,82.22367923426269,81.91300771470333,89.61,19,19,23
Nepal,80.40158323855073,81.04629890787132,50.88,20,20,124
Slovenia,80.18015309586312,79.92977209117895,84.57,21,21,41
Ecuador,79.17069872267378,79.22557723643891,71.16,22,23,91
Tajikistan,79.16861019071158,79.65450105937164,53.68,23,22,121
Eswatini,78.1955384682305,78.73568448712005,54.99,24,24,117
Georgia,77.96279956318931,78.02154811142,69.28,25,25,97
Croatia,77.22131011874382,76.98544845741898,80.2,26,26,53
Spain,76.3601174206004,75.9443124448236,86.36,27,27,34
United Kingdom,75.95145362625304,75.43561226911797,89.87,28,29,21
Colombia,75.6381720216715,75.54774998906468,72.37,29,28,85
Hungary,75.48538516763483,75.16761196074106,81.29,30,30,49
Germany,75.20750682996778,74.64638224972869,90.74,31,31,17
Romania,74.23440144495595,73.93126569829718,79.1,32,33,57
Namibia,73.77962019691626,74.5117439194026,46.14,33,32,129
Panama,73.41840880343621,73.11867145314,78.8,34,35,60
El Salvador,73.27773668890129,73.24637326561205,67.48,35,34,104
Portugal,72.88981595198602,72.40431969573042,84.74,36,37,40
Fiji,72.48669901883471,72.29394899430736,72.48,37,38,84
