country,score_v1,score_v2,score_diff,rank_v1,rank_v2,rank_diff,access_electricity_pct,low_carbon_elec_pct,gdp_log_norm
Iceland,97.92,97.98,0.06,1,1,0,100.0,100.0,91.6669915738356
Norway,97.32,97.34,0.02,2,2,0,100.0,97.93769,93.00720817715698
Switzerland,96.26,96.21,-0.05,3,3,0,100.0,94.61654,94.7155415080344
Sweden,96.01,96.07,0.06,4,4,0,100.0,98.010925,87.62012028395282
France,91.77,91.74,-0.03,5,5,0,100.0,90.54302,84.09264205393424
Costa Rica,90.8,91.01,0.21,6,6,0,99.71,97.81277,67.48538923007065
Albania,88.82,89.15,0.33,7,7,0,100.0,100.0,55.26059925890879
Paraguay,88.65,88.99,0.34,8,8,0,99.7,99.857315,55.22162865522606
Canada,88.57,88.39,-0.18,9,9,0,100.0,82.378334,85.98942065208087
Finland,88.36,88.16,-0.2,10,10,0,100.0,81.52969,86.67884996703812
Luxembourg,88.33,87.94,-0.39,11,12,-1,100.0,74.76635,98.7561922687134
New Zealand,88.16,87.99,-0.17,12,11,1,100.0,82.10454,84.839322330897
Uruguay,87.73,87.75,0.02,13,13,0,99.9,88.224304,72.22644027339636
Denmark,87.59,87.32,-0.27,14,15,-1,100.0,78.17689,89.62828823572842
Bhutan,87.08,87.47,0.39,15,14,1,100.0,100.0,48.33439714084545
Austria,86.48,86.21,-0.27,16,16,0,100.0,77.109795,87.10894134640174
Brazil,83.93,83.98,0.05,17,17,0,99.8,85.30534,62.40768591211404
Lithuania,83.82,83.67,-0.15,18,18,0,100.0,78.662415,73.67555144241902
Belgium,82.22,81.82,-0.4,19,19,0,100.0,68.237465,86.06727993705076
Nepal,80.4,80.98,0.58,20,20,0,89.9,100.0,33.72633295420293
Slovenia,80.18,79.84,-0.34,21,21,0,100.0,68.34487,77.69984638345245
Ecuador,79.17,79.15,-0.02,22,23,-1,99.09,78.04273,57.29788089069506
Tajikistan,79.17,79.59,0.42,22,22,0,99.63321,93.10345,29.528378762846263
Eswatini,78.2,78.67,0.47,24,24,0,76.86944,94.3662,50.67966587292201
Georgia,77.96,77.95,-0.01,25,25,0,100.0,76.98276,53.28223025275721
Croatia,77.22,76.9,-0.32,26,26,0,100.0,65.95577,70.16485447497523
Spain,76.36,75.86,-0.5,27,27,0,100.0,58.82092,79.56281368240164
United Kingdom,75.95,75.35,-0.6,28,29,-1,100.0,54.923054,84.94431730501218
Colombia,75.64,75.47,-0.17,29,28,1,99.75592,69.49456,57.75537608668596
Hungary,75.49,75.09,-0.4,30,30,0,100.0,61.392223,71.43553927053932
Germany,75.21,74.56,-0.65,31,31,0,100.0,52.611385,86.12953431987115
Romania,74.23,73.85,-0.38,32,33,-1,100.0,60.679283,67.7148963798238
Namibia,73.78,74.45,0.67,33,32,1,55.17709,97.05882,54.20009678766501
Panama,73.42,73.04,-0.38,34,35,-1,95.81633,60.057747,70.59009461374484
El Salvador,73.28,73.17,-0.11,35,34,1,97.36,69.28214,51.57109475560514
Portugal,72.89,72.32,-0.57,36,37,-1,100.0,52.986664,76.18326860794411
Fiji,72.49,72.22,-0.27,37,38,-1,99.71588,62.83186,57.19039207533889
Afghanistan,72.02,72.36,0.34,38,36,2,97.7,83.17757,21.124725285490314
Kenya,71.13,71.65,0.52,39,39,0,69.7,89.12098,40.444061254019815
Montenegro,70.93,70.51,-0.42,40,41,-1,100.0,56.26822,62.4287056158137
Peru,70.8,70.52,-0.28,41,40,1,95.55136,60.827293,59.03643070399603
Ireland,70.77,69.84,-0.93,42,45,-3,100.0,38.41146,93.95053983137764
Bulgaria,70.68,70.24,-0.44,43,43,0,100.0,54.908676,63.903261068117445
Armenia,70.62,70.35,-0.27,44,42,2,100.0,60.821915,52.9955052165868
Ukraine,70.4,70.17,-0.23,45,44,1,100.0,62.144634,49.72072050110655
Latvia,70.39,69.8,-0.59,46,46,0,100.0,49.53416,72.418098900234
United States,69.71,68.79,-0.92,47,48,-1,100.0,37.75918,90.88700687377461
Guatemala,69.04,68.8,-0.24,48,47,1,95.742004,60.101376,53.10058281510251
Bermuda,68.31,67.2,-1.11,49,52,-3,100.0,,99.237704857255
Italy,68.24,67.42,-0.82,50,51,-1,100.0,39.756306,81.4134599240893
Ethiopia,66.63,67.6,0.97,51,49,2,48.06359,99.929726,28.959645895368485
Lesotho,66.53,67.5,0.97,52,50,2,44.50021,100.0,32.7165907888445
Suriname,66.17,65.69,-0.48,53,53,0,97.82542,49.230766,58.678358056768566
Chile,66.15,65.45,-0.7,54,54,0,100.0,41.64621,69.62268127794601
Belize,65.45,65.11,-0.34,55,55,0,92.72,53.409092,54.39589926835859
Turkey,65.35,64.73,-0.62,56,56,0,100.0,43.680435,62.76291731419265
Uganda,63.45,64.45,1.0,57,57,0,41.3,97.92147,27.97263153754765
Greece,63.25,62.39,-0.86,58,58,0,100.0,33.14121,73.34918449170765
Japan,62.68,61.62,-1.06,59,60,-1,100.0,25.860157,84.16254080904258
Gabon,62.44,61.94,-0.5,60,59,1,90.726295,44.690266,60.46586671945793
Netherlands,61.89,60.74,-1.15,61,64,-3,100.0,22.104479,87.76707116351102
Australia,61.72,60.56,-1.16,62,66,-4,100.0,21.37597,88.40589807181983
Estonia,61.71,60.75,-0.96,63,63,0,100.0,28.120895,76.22382237755991
Honduras,61.67,61.38,-0.29,64,61,3,91.1,51.528778,44.588501522604524
Bosnia and Herzegovina,61.3,60.63,-0.67,65,65,0,100.0,37.85243,57.059938038394456
Samoa,60.78,60.19,-0.59,66,67,-1,99.2,40.0,52.093273640371606
Argentina,60.44,59.62,-0.82,67,68,-1,100.0,31.991589,64.15753708981747
Zambia,60.36,61.1,0.74,68,62,6,43.0,86.0259,34.98427912748778
China,60.32,59.5,-0.82,69,70,-1,100.0,31.672895,64.280907360296
Nicaragua,59.76,59.53,-0.23,70,69,1,88.05833,51.5625,40.54861652195097
Cambodia,58.79,58.64,-0.15,71,71,0,84.0,53.372787,38.2746027396828
Sri Lanka,58.71,58.06,-0.65,72,72,0,99.75857,35.934547,50.446520884123416
New Caledonia,58.21,57.03,-1.18,73,75,-2,100.0,17.197453,81.89253000711277
Serbia,57.72,56.89,-0.83,74,76,-2,99.8,28.513292,59.80740051673753
Angola,57.38,57.79,0.41,75,73,2,45.6428,71.55844,45.93749154848177
Cameroon,57.25,57.46,0.21,76,74,2,63.48988,64.19161,37.28473091528386
Tuvalu,56.21,55.46,-0.75,77,78,-1,99.7,,51.18246899533238
Mexico,55.77,54.8,-0.97,78,80,-2,99.6,21.969315,64.00585076034184
Ghana,55.47,55.15,-0.32,79,79,0,83.5,43.858597,42.74296679003007
Dominica,55.45,54.49,-0.96,80,81,-1,100.0,22.222221,61.78185659436052
Cayman Islands,55.21,53.7,-1.51,81,84,-3,100.0,2.857143,95.69569674101349
Mauritius,54.98,53.95,-1.03,82,83,-1,100.0,19.093851,65.56446162248407
Poland,54.67,53.54,-1.13,83,86,-3,100.0,15.615801,70.55194829863264
Malta,54.53,53.25,-1.28,84,87,-3,100.0,10.144928,79.86464696507248
North Macedonia,54.51,53.6,-0.91,85,85,0,100.0,22.82794,56.94418891080863
Cyprus,54.39,53.12,-1.27,86,88,-2,100.0,10.097087,79.39294404648514
Central African Republic,54.38,55.69,1.31,87,77,10,14.3,100.0,20.34567089744728
Malaysia,53.75,52.67,-1.08,88,89,-1,100.0,16.115656,65.99027488562416
Singapore,53.42,51.92,-1.5,89,90,-1,100.0,1.5075376,90.96585744989486
Israel,53.13,51.71,-1.42,90,91,-1,100.0,4.0435023,85.23360115393032
Sierra Leone,53.0,54.08,1.08,91,82,9,22.7,90.4762,21.899195194507524
Qatar,52.58,51.07,-1.51,92,96,-4,100.0,0.06381621,90.21397236002426
United Arab Emirates,52.52,51.09,-1.43,93,95,-2,100.0,2.930968,84.82133756720489
Cuba,52.52,51.46,-1.06,93,92,1,99.8,15.309779,62.769751433090526
Thailand,51.72,50.66,-1.06,95,97,-2,99.9,14.700173,60.557582772904226
Puerto Rico,51.47,50.06,-1.41,96,99,-3,100.0,2.6651216,81.07340046548336
Seychelles,51.14,49.89,-1.25,97,100,-3,100.0,7.54717,70.98255813374692
Sudan,50.73,51.1,0.37,98,94,4,53.96254,63.33538,24.15006486259694
Kazakhstan,50.64,49.48,-1.16,99,105,-6,100.0,10.415101,63.806497090102624
Philippines,50.61,49.78,-0.83,100,102,-2,95.64508,21.47436,49.016437929171275
Dominican Republic,50.56,49.46,-1.1,101,107,-6,99.0,12.247015,61.38345463047622
Jamaica,50.49,49.48,-1.01,102,105,-3,99.36762,15.294118,55.19115256471038
Mozambique,50.49,51.36,0.87,102,93,9,29.67445,80.49172,21.479940500552647
Morocco,50.42,49.53,-0.89,104,104,0,99.6,19.009504,47.95154566933314
Kuwait,50.25,48.81,-1.44,105,111,-6,100.0,0.08509431,80.86424352467479
Jordan,50.09,49.1,-0.99,106,109,-3,100.0,15.542974,52.36376533154636
Myanmar,49.92,49.82,-0.1,107,101,6,68.35853,46.144123,34.608543374161904
Barbados,49.91,48.59,-1.32,108,112,-4,100.0,3.9215686,72.59370748966087
Equatorial Guinea,49.85,49.34,-0.51,109,108,1,66.600044,32.142857,61.619275990124386
Indonesia,49.84,48.88,-0.96,110,110,0,98.85,16.261044,51.45914141258873
Tonga,49.42,48.42,-1.0,111,114,-3,98.4,14.285714,53.89256523168601
Antigua and Barbuda,49.32,47.98,-1.34,112,116,-4,100.0,2.9411764,71.97264589544015
India,49.3,48.51,-0.79,113,113,0,97.308266,21.475914,41.783988235832055
Guinea,49.27,49.69,0.42,114,103,11,42.2,63.592236,31.990165540996234
Bahrain,49.09,47.68,-1.41,115,117,-2,100.0,0.031806614,76.31806563530407
Saudi Arabia,49.04,47.63,-1.41,116,118,-2,100.0,0.062602475,76.06578496742202
Malawi,48.99,50.12,1.13,117,98,19,11.2,88.23529,23.69733691563049
Maldives,48.32,47.07,-1.25,118,119,-1,100.0,4.6875,64.85763381184678
