country,access_electricity_pct,low_carbon_elec_pct,gdp_per_capita_usd,transition_score,clean_access_ratio,fossil_lock_in,score_2000,score_2019,score_change,improvement_rate,cluster,cluster_name
Afghanistan,97.7,83.17757,494.1793499,72.02,81.26,26.58,42.66,72.02,29.36,1.545,2,Transición renovable
Albania,100.0,100.0,5395.659532,88.82,100.0,12.34,81.88,88.82,6.94,0.365,2,Transición renovable
Algeria,99.5,1.0953188,3989.668276,43.08,1.09,62.84,39.61,43.08,3.47,0.183,0,Emergentes fósiles
Angola,45.6428,71.55844,2809.626088,57.38,32.66,27.81,41.9,57.38,15.48,0.815,3,Pobreza energética
Antigua and Barbuda,100.0,2.9411764,17376.64968,49.32,2.94,54.4,45.62,49.32,3.7,0.195,0,Emergentes fósiles
Argentina,100.0,31.991589,10056.63794,60.44,31.99,42.71,62.24,60.44,-1.8,-0.095,0,Emergentes fósiles
Armenia,100.0,60.821915,4604.646324,70.62,60.82,32.3,60.52,70.62,10.1,0.532,2,Transición renovable
Aruba,100.0,16.304348,,49.84,16.3,,46.1,49.84,3.74,0.197,0,Emergentes fósiles
Australia,100.0,21.37597,54875.28596,61.72,21.38,44.37,52.67,61.72,9.05,0.476,1,Desarrollados alto consumo
Austria,100.0,77.109795,50114.40111,86.48,77.11,16.86,81.89,86.48,4.59,0.242,1,Desarrollados alto consumo
Azerbaijan,100.0,6.869919,4805.753718,46.49,6.87,58.42,39.83,46.49,6.66,0.351,0,Emergentes fósiles
Bahamas,100.0,0.0,,42.5,0.0,,42.5,42.5,0.0,0.0,0,Emergentes fósiles
Bahrain,100.0,0.031806614,23551.93009,49.09,0.03,64.43,47.13,49.09,1.96,0.103,1,Desarrollados alto consumo
Bangladesh,92.2,1.4337819,1855.740094,38.31,1.32,59.49,17.13,38.31,21.18,1.115,0,Emergentes fósiles
Barbados,100.0,3.9215686,18148.49785,49.91,3.92,54.0,46.45,49.91,3.46,0.182,0,Emergentes fósiles
Belarus,100.0,2.494692,6837.717826,45.78,2.49,61.85,38.72,45.78,7.06,0.372,0,Emergentes fósiles
Belgium,100.0,68.237465,46591.49161,82.22,68.24,22.96,75.75,82.22,6.47,0.341,1,Desarrollados alto consumo
Belize,92.72,53.409092,5078.809944,65.45,49.52,40.06,58.33,65.45,7.12,0.375,2,Transición renovable
Benin,40.32869,5.0,1219.515506,22.85,2.02,65.14,11.87,22.85,10.98,0.578,3,Pobreza energética
Bermuda,100.0,,117098.4463,68.31,0.0,32.61,65.69,68.31,2.62,0.138,1,Desarrollados alto consumo
Bhutan,100.0,100.0,3322.863329,87.08,100.0,23.56,60.96,87.08,26.12,1.375,2,Transición renovable
Bosnia and Herzegovina,100.0,37.85243,6119.762345,61.3,37.85,46.56,61.77,61.3,-0.47,-0.025,2,Transición renovable
Botswana,69.95974,0.3267974,7203.064221,35.98,0.23,56.72,20.21,35.98,15.77,0.83,0,Emergentes fósiles
Brazil,99.8,85.30534,8897.552966,83.93,85.13,20.12,82.04,83.93,1.89,0.099,2,Transición renovable
Bulgaria,100.0,54.908676,9879.268533,70.68,54.91,34.98,62.59,70.68,8.09,0.426,2,Transición renovable
Burkina Faso,18.374855,12.209302,796.1152068,17.99,2.24,60.93,19.72,17.99,-1.73,-0.091,3,Pobreza energética
Burundi,11.356528,66.666664,228.2135892,35.94,7.57,45.67,46.44,35.94,-10.5,-0.553,3,Pobreza energética
Cambodia,84.0,53.372787,1643.121389,58.79,44.83,40.68,13.28,58.79,45.51,2.395,2,Transición renovable
Cameroon,63.48988,64.19161,1533.095688,57.25,40.76,35.38,63.2,57.25,-5.95,-0.313,3,Pobreza energética
Canada,100.0,82.378334,46338.34096,88.57,82.38,22.19,82.29,88.57,6.28,0.331,1,Desarrollados alto consumo
Cayman Islands,100.0,2.857143,91392.64259,55.21,2.86,47.17,42.5,55.21,12.71,0.669,1,Desarrollados alto consumo
Central African Republic,14.3,100.0,467.9080323,54.38,14.3,30.03,40.67,54.38,13.71,0.722,3,Pobreza energética
Chad,8.4,3.2258065,709.5400432,10.54,0.27,63.99,7.36,10.54,3.18,0.167,3,Pobreza energética
Chile,100.0,41.64621,14741.7144,66.15,41.65,37.84,64.36,66.15,1.79,0.094,0,Emergentes fósiles
China,100.0,31.672895,10143.83817,60.32,31.67,48.21,44.8,60.32,15.52,0.817,0,Emergentes fósiles
Colombia,99.75592,69.49456,6424.979492,75.64,69.32,25.59,73.77,75.64,1.87,0.098,2,Transición renovable
Comoros,84.297775,0.0,1401.542312,34.29,0.0,62.45,18.16,34.29,16.13,0.849,3,Pobreza energética
Congo,48.407475,25.68306,,38.58,12.43,,66.23,38.58,-27.65,-1.455,3,Pobreza energética
Costa Rica,99.71,97.81277,12693.82796,90.8,97.53,10.18,86.17,90.8,4.63,0.244,2,Transición renovable
Croatia,100.0,65.95577,15311.7669,77.22,65.96,25.72,69.24,77.22,7.98,0.42,2,Transición renovable
Cuba,99.8,15.309779,9125.878679,52.52,15.28,46.72,40.79,52.52,11.73,0.617,0,Emergentes fósiles
Cyprus,100.0,10.097087,29206.07672,54.39,10.1,48.28,47.32,54.39,7.07,0.372,0,Emergentes fósiles
Czechia,100.0,47.021107,,63.66,47.02,,52.3,63.66,11.36,0.598,0,Emergentes fósiles
Denmark,100.0,78.17689,59775.7351,87.59,78.18,14.38,56.99,87.59,30.6,1.611,1,Desarrollados alto consumo
Djibouti,61.21193,0.0,3414.916178,30.54,0.0,57.54,23.77,30.54,6.77,0.356,3,Pobreza energética
Dominica,100.0,22.222221,8516.280039,55.45,22.22,46.89,56.96,55.45,-1.51,-0.079,0,Emergentes fósiles
Dominican Republic,99.0,12.247015,8282.117131,50.56,12.12,49.85,42.36,50.56,8.2,0.432,0,Emergentes fósiles
Ecuador,99.09,78.04273,6222.524653,79.17,77.33,23.2,69.97,79.17,9.2,0.484,2,Transición renovable
Egypt,100.0,10.662351,,47.3,10.66,,50.09,47.3,-2.79,-0.147,0,Emergentes fósiles
El Salvador,97.36,69.28214,4167.730939,73.28,67.45,28.49,60.12,73.28,13.16,0.693,2,Transición renovable
Equatorial Guinea,66.600044,32.142857,8419.933336,49.85,21.41,42.53,34.41,49.85,15.44,0.813,0,Emergentes fósiles
