country_wb,country_code,year,access_electricity_pct
Afghanistan,AFG,2018,93.4
Afghanistan,AFG,2019,97.7
Afghanistan,AFG,2020,97.7
Afghanistan,AFG,2021,97.7
Afghanistan,AFG,2022,85.3
Afghanistan,AFG,2023,85.3
Africa Eastern and Southern,AFE,2018,43.04
Africa Eastern and Southern,AFE,2019,44.39
Africa Eastern and Southern,AFE,2020,46.28
Africa Eastern and Southern,AFE,2021,48.13
Africa Eastern and Southern,AFE,2022,48.8
Africa Eastern and Southern,AFE,2023,50.67
Africa Western and Central,AFW,2018,51.34
Africa Western and Central,AFW,2019,51.29
Africa Western and Central,AFW,2020,51.86
Africa Western and Central,AFW,2021,54.37
Africa Western and Central,AFW,2022,55.69
Africa Western and Central,AFW,2023,57.07
Albania,ALB,2018,100.0
Albania,ALB,2019,100.0
Albania,ALB,2020,100.0
Albania,ALB,2021,100.0
Albania,ALB,2022,100.0
Albania,ALB,2023,100.0
Algeria,DZA,2018,99.6
Algeria,DZA,2019,99.5
Algeria,DZA,2020,99.7
Algeria,DZA,2021,99.8
Algeria,DZA,2022,100.0
Algeria,DZA,2023,100.0
Andorra,AND,2018,100.0
Andorra,AND,2019,100.0
Andorra,AND,2020,100.0
Andorra,AND,2021,100.0
Andorra,AND,2022,100.0
Andorra,AND,2023,100.0
Angola,AGO,2018,45.3
Angola,AGO,2019,45.6
Angola,AGO,2020,47.0
Angola,AGO,2021,48.2
Angola,AGO,2022,48.5
Angola,AGO,2023,51.1
Antigua and Barbuda,ATG,2018,100.0
Antigua and Barbuda,ATG,2019,100.0
Antigua and Barbuda,ATG,2020,100.0
Antigua and Barbuda,ATG,2021,100.0
Antigua and Barbuda,ATG,2022,100.0
Antigua and Barbuda,ATG,2023,100.0
Arab World,ARB,2018,88.69
Arab World,ARB,2019,89.93
Arab World,ARB,2020,90.24
Arab World,ARB,2021,90.43
Arab World,ARB,2022,90.65
Arab World,ARB,2023,91.65
Argentina,ARG,2018,100.0
Argentina,ARG,2019,100.0
